Energy,Rayleigh,Compton,Absorption
0.001,4304.0,1.234,1788000.0
0.0015,4132.0,2.271,806600.0
0.002,3935.0,3.31,438300.0
0.002484,3742.0,4.266,271800.0
0.002484,3742.0,4.266,476500.0
0.002534,3722.0,4.364,562900.0
0.002586,3701.0,4.463,665000.0
0.002586,3701.0,4.463,839200.0
0.003,3533.0,5.246,672500.0
0.003066,3507.0,5.369,635400.0
0.003066,3507.0,5.369,734900.0
0.003301,3416.0,5.793,613000.0
0.003554,3321.0,6.238,511300.0
0.003554,3321.0,6.238,541900.0
0.003699,3267.0,6.491,492700.0
0.003851,3212.0,6.753,447900.0
0.003851,3212.0,6.753,467400.0
0.004,3158.0,7.009,427300.0
0.005,2824.0,8.655,248500.0
0.006,2533.0,10.22,158200.0
0.008,2065.0,13.1,76600.0
0.01,1714.0,15.62,43220.0
0.01304,1325.0,18.7,21710.0
0.01304,1325.0,18.7,54430.0
0.015,1138.0,20.37,37230.0
0.0152,1121.0,20.52,35940.0
0.0152,1121.0,20.52,49960.0
0.01553,1094.0,20.77,47480.0
0.01586,1068.0,21.03,45140.0
0.01586,1068.0,21.03,52180.0
0.02,804.4,23.73,28890.0
0.03,473.8,28.31,9929.0
0.04,316.6,31.03,4593.0
0.05,225.2,32.61,2509.0
0.06,168.6,33.49,1525.0
0.08,105.9,34.14,692.4
0.088,90.55,34.16,532.4
0.088,90.55,34.16,2519.0
0.1,73.2,34.04,1802.0
0.15,36.1,32.63,624.4
0.2,21.54,30.85,291.2
0.3,10.28,27.65,100.8
0.4,6.008,25.15,48.76
0.5,3.934,23.17,28.41
0.6,2.773,21.55,18.6
0.8,1.59,19.05,9.878
1.0,1.029,17.18,6.226
